alert_id,alert_type,wallet_address,token,contract,chain,amount,price,tx_hash,created_at,notes
alert_1788654545_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.7416,2485.98,0x6613669ad92b56602d3ba6461b5e6d9aa05bd26d79d9e195d81225cc5d0afdf2,2026-09-06T00:29:05.108711,profit=None
alert_1788654547_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,19672.4615,0.002475,0xbb2e60f6aa8626acc3fd28f665be6acc6cd50825fc83730e1564d4a3e3ef1e75,2026-09-06T00:29:07.506663,profit=None
alert_1788654549_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,158566.2061,0.002475,0xa90260d5249c8f460114f7f1624cef3ab22e661b1c12e91dfe4fe1b0f5112cc0,2026-09-06T00:29:09.894944,profit=None
alert_1788654552_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,370086.9238,0.002475,0xf384ad5d6cecad27a931bc6087bb3ae924cb81045b98e286d7cf63445c6e763c,2026-09-06T00:29:12.584711,profit=None
alert_1788654563_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.0038,2485.98,0x2eb1576561a5042e4b23820a445ad5321deae1faa63c89a3e109cab8e57782ce,2026-09-06T00:29:23.326720,profit=None
alert_1788654565_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,41964.223,0.002475,0x5fb5a988a4698d9e0995f4bd3140d9c52f9d122b627050464427641df8a786c3,2026-09-06T00:29:25.766478,profit=None
alert_1788654568_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,77183.407,0.002475,0x166a488a10c88eeb6dede930e3a85faa93234432abc26991792c748bc7ad6786,2026-09-06T00:29:28.185594,profit=None
alert_1788654570_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.9735,2485.98,0x6cb4ec66cfc83a26840568700ff2b6e8c81aae63e8ceb225b4aed6c6991cef0a,2026-09-06T00:29:30.587086,profit=None
alert_1788654572_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,70081.7222,0.002475,0x314fa7b0d256f676004683cc5c7907bb4959a445e7c96617df1ec029453a1fbf,2026-09-06T00:29:32.974049,profit=None
alert_1788654575_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0.5318,2486.82,0x0423052017582668a312aa7497c62de267b6ea09d0496824297a2e5886a93f5f,2026-09-06T00:29:35.439874,profit=None
alert_1788654578_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,80437.9652,0.002475,0x88df0d7f6975a25a02c97b643f71b37567f560cae3938487b5a6d46a805b9476,2026-09-06T00:29:38.025169,profit=None
alert_1788654580_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,181956.6977,0.002475,0x811420a23cb3d3a5739080048e6957eb17bab6584077547e8177729679b3875b,2026-09-06T00:29:40.414848,profit=None
alert_1788654582_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,44937.4212,0.002475,0x4fbb45b8697551e8b45904cbeffc1f26ce8d56d768e462f5ad66ec256045de27,2026-09-06T00:29:42.800899,profit=None
alert_1788654585_0x7dfc9d,sell,0x7dfc9dd51638573a812b39d33eded20df468e7bc,ASTEROID,0xaff2565091e7207191dbe340b8528d02fa78d044,ethereum,10876.4739,0.002475,0x39b83e7a8323600cc57e5f302428c3a52edeb178a16365e9a307689519b4b8eb,2026-09-06T00:29:45.201129,profit=None
