address,chain,first_seen,last_seen,total_trades,total_sells,winning_sells,losing_sells,win_rate,avg_profit,avg_hold_duration,score,in_whitelist,is_whale
0x8fbd26a7cb1ab65834c5ea245aa1f1e78d03ed30,ethereum,2026-08-09T05:30:11.025686,2026-08-11T11:55:54.172503,10,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xde342a3e269056fc3305f9e315f4c40d917ba521,ethereum,2026-08-09T05:30:11.070524,2026-08-11T09:34:47.182767,9,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x901b1f018ced4d518cd577c930d5dccef6369d2c,ethereum,2026-08-09T05:30:11.114696,2026-08-11T09:34:47.227506,9,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x847f7477ad777da050b0436cc615f9eb5632698f,ethereum,2026-08-10T10:45:50.837757,2026-08-11T11:55:56.436864,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc7e4254a72169fdf7a2e080462724f2f642daf7e,ethereum,2026-08-10T10:45:50.879644,2026-08-11T09:34:45.643848,6,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xa682edb626e90bbf54ded4538c5bc1fa92b8e918,ethereum,2026-08-10T10:45:50.921652,2026-08-11T11:55:56.444186,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x54310cc6ae8163ebbe7fe9796f4ac331fbd80897,ethereum,2026-08-10T10:45:50.961011,2026-08-11T09:34:45.721831,6,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x1dc68582c33be5e81f8461d92772da37ee006c42,ethereum,2026-08-10T22:21:01.659937,2026-08-12T14:39:21.263983,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xf22fdd2be7c6da9788e4941a6ffc78ca99d7b15c,ethereum,2026-08-10T22:21:01.720218,2026-08-12T14:39:21.279820,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x886b291604a0e2e2a877186e89b052630ac55170,ethereum,2026-08-10T22:21:01.782384,2026-08-12T14:39:21.303561,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xca71b9e7298cef35257490682e0dea321c10e989,ethereum,2026-08-10T22:21:01.843373,2026-08-12T14:39:21.295644,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x97f1f8003ad0fb1c99361170310c65dc84f921e3,ethereum,2026-08-11T09:34:49.937309,2026-08-11T11:55:57.452186,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x5be9a4959308a0d0c7bc0870e319314d8d957dbb,ethereum,2026-08-11T09:34:49.974408,2026-08-11T11:55:57.460145,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xe217e15b3c19cc0427f9492dc3bcfe8220afad10,ethereum,2026-08-11T09:34:50.012531,2026-08-11T09:34:50.012534,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xf32e3596f555546acc4ad6ef67e1abf36b134748,ethereum,2026-08-11T09:34:50.052196,2026-08-11T11:55:57.505577,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x3913a68cd43905526e087863afdb251719593f80,ethereum,2026-08-11T11:55:51.850936,2026-08-11T11:55:51.850936,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xd294c6cbdbc1783ca2a3fc9a1c24a059ec96d232,ethereum,2026-08-11T11:55:51.857701,2026-08-11T11:55:51.857701,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x150d490afd0f23d047a76bc4ae41a9b772c62f61,ethereum,2026-08-11T11:55:51.864405,2026-08-11T11:55:51.864405,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xd9db7748d204d431aa6bece6f8407eb4320d4340,ethereum,2026-08-11T11:55:51.871094,2026-08-11T11:55:51.871094,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x43939343f377b870a2db0ccbd8a44fc6113a1084,ethereum,2026-08-11T11:55:51.877770,2026-08-11T11:55:51.877770,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x4328d9c39b13f0c996a681b46de0f1a268bd0c30,ethereum,2026-08-11T11:55:51.884479,2026-08-11T11:55:51.884479,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x70672780bdcc614331f67d0620b6b66eff103cee,ethereum,2026-08-11T11:55:52.953962,2026-08-14T06:56:54.371029,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x244bb3910d13ab7c6a68ce36d05c156ff7e678af,ethereum,2026-08-11T11:55:52.960864,2026-08-14T06:56:54.379481,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xb4c1e9e66b767b7a7a4355844f2e6f3ad99f2ca8,ethereum,2026-08-11T11:55:52.967747,2026-08-14T06:56:54.387978,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x3b7a1379b3aeb36420db4533035aa04e9a3ce615,ethereum,2026-08-11T11:55:52.974717,2026-08-14T06:56:54.396598,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc6d065e48fc3848328d3b8eefbe38f0068542d9c,ethereum,2026-08-11T11:55:52.981648,2026-08-14T06:56:54.405193,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xcbd21ffe5d118ba5ed04a65aa28476e128a3702e,ethereum,2026-08-11T11:55:52.988606,2026-08-14T06:56:54.413780,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x9a248ae88e491011ae6d50353b8b6c60460ed434,ethereum,2026-08-11T11:55:54.267582,2026-08-11T11:55:54.267582,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x2b7867a617a3326f4db31e5be5f8fcc699b63ac3,ethereum,2026-08-11T11:55:54.274584,2026-08-11T11:55:54.274584,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x4d424749ce300667908a8ec2ca87d0277d4e2d54,ethereum,2026-08-11T11:55:54.429788,2026-08-11T11:55:54.429788,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xfa073d9681b92435cf507fe7fbeff22f7f268e23,ethereum,2026-08-11T11:55:54.436840,2026-08-11T11:55:54.436840,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x7491f28c11384473101bff73745f947ab73bef71,ethereum,2026-08-11T11:55:54.444054,2026-08-11T11:55:54.444054,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xabce94a414c04e116fc706f3a91f8a887a10ed17,ethereum,2026-08-11T11:55:54.451377,2026-08-11T11:55:54.451377,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x36af6ea85bebc3abce8d28361078226e1ab4b35e,ethereum,2026-08-11T11:55:55.406983,2026-08-14T06:56:54.993164,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x40b5bd243f467eac60710afe58a00907101731f3,ethereum,2026-08-11T11:55:55.414317,2026-08-14T06:56:55.001855,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc646a8f167ef53172f64af61ea8a6682cb793373,ethereum,2026-08-11T11:55:55.421667,2026-08-14T06:56:55.010402,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x50bbc2a45dc62dbba1790727b44786898834e299,ethereum,2026-08-11T11:55:55.428999,2026-08-14T06:56:55.018957,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x8ca75931bc9ff180242b3ab7b067858a320b1069,ethereum,2026-08-11T11:55:55.436419,2026-08-14T06:56:55.027466,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x42ff7b181dc258f45d78a6d34bc302fc8cfe0187,ethereum,2026-08-11T11:55:55.443877,2026-08-14T06:56:55.035995,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x09cb1a1db731d5f29d885ed5c9debd9e44b73134,ethereum,2026-08-11T11:55:56.451541,2026-08-11T11:55:56.451541,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc74452a6e045607893a5800909261e1198718305,ethereum,2026-08-11T11:55:56.458842,2026-08-11T11:55:56.458842,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xfc3e7856c299225f971edfa26aef0b7761e273a1,ethereum,2026-08-11T11:55:56.466305,2026-08-11T11:55:56.466305,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x35474c42841b371b85b75d83b765f26f7622963c,ethereum,2026-08-11T11:55:56.473695,2026-08-11T11:55:56.473695,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
